ID,Latitude,Longitude,CD1,CD2,CD3,CD4,WD1,WD2,WD3,WD4,BS
1,19.94,-64.56,58102.96,21259.89,2226.17,,4.45,26.83,4.23,,2.50
2,20.22,-64.38,6639.79,4031.30,1067.11,,1.04,28.69,40.79,,2.00
3,20.45,-64.20,15246.71,12147.79,991.66,,2.57,42.62,3503.27,,2.00
4,21.13,-63.83,5347.35,6851.29,1420.39,,1.15,12.86,4.26,,2.00
5,21.47,-63.59,4090.58,5317.76,409.06,,0.48,29.63,4.36,,2.00
6,21.74,-63.42,44914.59,46144.76,33133.71,,6.26,47.98,2051.84,,2.00
7,22.15,-63.15,17324.82,4519.52,502.17,,1.38,3.52,1.13,,2.00
8,22.84,-62.76,10467.48,10329.75,413.19,,1.24,33.90,15.84,,2.00
9,24.36,-62.81,7434.53,9436.14,190.63,,1.14,28.59,0.29,,4.00
10,24.36,-62.81,0.00,1510.37,704.84,,0.00,8.96,13.59,,4.00
11,24.77,-62.72,377.59,1636.23,377.59,,0.11,5.41,7.93,,4.00
12,25.38,-62.48,3126.56,2918.12,416.87,,0.46,3.99,0.42,,3.00
13,25.56,-62.44,428395.48,132757.97,119370.62,,15.62,837.83,25752.82,,2.00
14,26.09,-61.72,0.00,2111.27,351.88,,0.00,4.52,8.45,,4.50
15,29.25,-62.99,4682.38,14983.63,1560.79,,0.61,86.00,105.82,,2.50
16,29.75,-63.22,3020.74,35544.01,3725.58,,0.41,165.27,613.71,,2.00
17,30.55,-63.71,31985.11,157152.30,4991.90,,8.10,778.18,599.95,,2.00
18,31.18,-64.01,1173.82,10137.53,1814.08,,0.45,47.17,101.16,,2.50
19,31.54,-64.27,9953.75,31224.77,2590.70,,1.50,135.67,67.49,,2.00
20,31.96,-64.54,4082.42,24984.39,2776.04,,0.65,154.97,1465.26,,2.00
21,32.32,-64.43,6826.00,37944.54,4818.35,,1.20,287.29,307.97,,2.00
22,32.08,-64.63,0.00,52359.45,3272.47,,0.00,449.15,175.08,,2.50
